SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
19-Dec-22,Dec-22,2022,1334 Ranch Gate Ln,Frisco,TX,75036,"$599,000.00 ",4,3,Austin Ridge At Lone Star Ranc,2945,7013,4068,2013,9,$203.40 ,100,20106058,33.1205535,-96.8803793
21-Dec-22,Dec-22,2022,4430 Whispering Lake Dr,Frisco,TX,75036,"$800,000.00 ",4,4,Austin Ridge At Lone Star Ranc,3742,11021,7279,2014,8,$213.79 ,100,20143645,33.115445,-96.88382
23-Apr-21,Apr-21,2021,1640 Chambord Ave,Frisco,TX,75034,"$1,950,000.00 ",5,6,The Hills Of Kingswood Ph 3,5494,14375,8881,2021,0,$354.93 ,250,14380319,33.1073428,-96.8772803
10-Aug-21,Aug-21,2021,2227 Lilac Ln,Frisco,TX,75034,"$3,300,000.00 ",5,6,The Hills Of Kingswood Ph 1,7993,34238,26245,2020,1,$412.86 ,250,14269220,33.1126105,-96.8721686
1-Apr-21,Apr-21,2021,1700 Hidalgo Ln,Frisco,TX,75034,"$2,475,000.00 ",5,6,Hills Of Kingswood,6189,15551,9362,2019,2,$399.90 ,200,14148520,33.1084741,-96.8769278
5-Apr-22,Apr-22,2022,3315 Midwick Dr,Frisco,TX,75034,"$3,400,000.00 ",5,6,The Hills Of Kingswood Ph 3,7857,16553,8696,2020,2,$432.74 ,250,14297362,33.1062053,-96.8788725
29-Apr-22,Apr-22,2022,972 Highland Hills Dr,Frisco,TX,75036,"$600,000.00 ",4,3,The Vistas At Waterstone Ph 1,2553,7797,5244,2006,16,$235.02 ,86,20015883,33.121921,-96.898571
10-Jun-22,Jun-22,2022,3717 Canterbury,The Colony,TX,75056,"$619,900.00 ",3,2,Stonehaven At Tribute Ph 2,2471,6490,4019,2017,5,$250.87 ,100,20046838,33.117862,-96.9100548
19-Mar-21,Mar-21,2021,1105 Roma Dr,Frisco,TX,75036,"$550,000.00 ",5,4,The Shores At Waterstone Ph,3916,12763,8847,2015,6,$140.45 ,188,14515577,33.1212821,-96.9008118
11-May-21,May-21,2021,1200 Roma Dr,Frisco,TX,75036,"$438,000.00 ",3,2.5,The Shores At Waterstone Ph,2551,11021,8470,2014,7,$171.70 ,174,14541533,33.121257,-96.902325
