SOLD_MONTH,PROPERTYTYPE,ADDRESS,CITY,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,HOA_MONTH,MLS,LATITUDE,LONGITUDE
,Single Family Residential,9804 Preston Vineyard Dr,Frisco,75035,415900,3,2,Preston Vineyards Sec One,1685,5663,1992,247,,20082087,33.136012,-96.797081
,Single Family Residential,9998 Bell Rock Rd,Frisco,75035,385000,3,2,Sedona Ph Two,1914,4356,2010,201,57,14608883,33.138478,-96.795279
,Single Family Residential,6675 Winston Dr,Frisco,75035,411000,3,2,Lakes Of Preston Vineyards Ph 2 The,1705,6800,1999,241,44,20167552,33.1336496,-96.7848459
,Single Family Residential,11409 Fountainbridge Dr,Frisco,75035,360000,4,2.5,Lakes Of Preston Vineyards Villages Ph Five T,2388,3920,2002,151,50,14585438,33.1365714,-96.780333
,Single Family Residential,11208 Alexandria Dr,Frisco,75035,649900,4,4,Plantation Resort Ph 2a The,3425,7841,1993,190,30,20137217,33.1285391,-96.7809798
,Single Family Residential,9610 Summer Dr,Frisco,75035,450000,4,3,Autumn Park,2625,6970,1998,171,,14609760,33.1327828,-96.7981988
,Single Family Residential,9801 Preston Vineyard Dr,Frisco,75035,419800,3,2.5,Preston Vineyards Sec One,1943,5227,1992,216,,20015776,33.1354194,-96.7972453
,Single Family Residential,10708 Nashville Dr,Frisco,75035,400000,3,2,Plantation Resort Ph Iid The,1759,6098,1995,227,28,14644833,33.116891,-96.7861839
,Single Family Residential,9938 Bell Rock Rd,Frisco,75035,485000,3,2,Sedona Ph Two,1785,4356,2010,272,57,14755209,33.1385032,-96.7959389
,Single Family Residential,4900 Wisteria Dr,Frisco,75035,465000,4,2,Cecile Place Ph II,2315,10890,1999,201,21,14671381,33.1189591,-96.7934699
,Single Family Residential,4904 Plantation Ln,Frisco,75035,495000,4,2.5,Plantation Resort Ph 2e The,3207,7841,1998,154,28,14611658,33.1189772,-96.7802895
,Single Family Residential,11066 Clearstream Ln,Frisco,75035,429900,4,2,Lakes Of Preston Vineyards Ph 3 The,2169,7405,2000,198,44,14686007,33.131496,-96.783663
,Single Family Residential,10912 Reisling Dr,Frisco,75035,337500,3,2.5,Preston Vineyards Sec III Ph 3,1944,8276,1995,174,,14565757,33.1378421,-96.7857878
,Single Family Residential,10201 Anne Dr,Frisco,75035,669000,4,4,Hillcrest Estates Ph II,3374,6970,1995,198,,20054501,33.1151398,-96.7915055
,Single Family Residential,5316 Baton Rouge Blvd,Frisco,75035,400000,4,2,Plantation Resort Ph Ia The,1955,6534,1992,205,28,14578415,33.1227298,-96.7870325
,Single Family Residential,6913 Chateau Dr,Frisco,75035,335000,4,2,Preston Vineyards Sec III Ph 1,2070,6098,1994,162,,14513853,33.1360436,-96.788243
,Single Family Residential,4920 Baton Rouge Blvd,Frisco,75035,368900,3,2,Plantation Resort Ph Iid The,2023,6970,1995,182,28,14527154,33.1196168,-96.7871126
,Single Family Residential,9614 Preston Vineyard Dr,Frisco,75035,415500,3,2,Preston Vineyards 01,2222,6098,1992,187,,14668117,33.135286,-96.798606
